1パッケージでプレート50枚になります,50 plates / 1 package
CVSファイルオープン中にエラーが発生しました。,Open CSV file error.
アカウント,account
アカウントが削除されました。,Delete account.
アカウントのIDは無効です。,Invalid account id.
アカウントのIDを提供してください。,Please select account.
アカウントをアップデートすることはできません。,Can't update account
アカウントを削除することはできません。,Can't delete account
アカウントを保存しました,Save account
アカウント一覧,Account list
アカウント一覧へ,Account list
アカウント詳細,Account detail
アカウント登録,Regist account
アカウント編集,Edit account
アクセス総数,Total access
アクセス状況,Access status 
アクティベーションコード,Activation cord:
アプリアカウントのIDは無効です。,Invalid application account.
アプリアカウントのIDを提供してください。,Please select application account.
アプリアカウント一覧,Application account list
アプリアカウント総数,Total application account
アプリアカウント用ラベル一覧,Label list for appication account
アプリ管理,Application management
アプリを管理モードで使用する,Use appication by management mode
依頼日,Order date
エラーが発生しました。ご注文内容はまだ保存されていません。,error: Do not save order data.
お取り引き状況の管理,Dealings situation
クラウド管理,Cloud management
クラウドアカウント一覧,Cloud account list
クラウドアカウント一覧へ,Cloud account list
クリア,Clear
このアカウントは既に存在します。,This account has already registered.
このフィールドを入力してください。,Please input this field.
このプロジェクトは既に存在します。,This project has already registered.
このラベルは既に存在します。,This label has already registered.
コメント,Comment
コンテンツ,Contents
コンテンツ管理,Contents management
コンテンツが削除されました。,Content has been deleted.
コンテンツのIDは無効です。,Invalid content.
コンテンツのIDを提供してください。,Please select content.
コンテンツのアップデートに成功しました。,Content updated.
コンテンツをアップデートすることはできません。,Can not update content.
コンテンツを削除することはできません。,Can not delete content.
コンテンツ一覧,Content list
コンテンツ一覧へ,Content list
コンテンツ稼働状況,Content operational status
コンテンツ修正,Edit content 
コンテンツ詳細,Content detail
コンテンツ新規登録,New content
コンテンツ用ラベル一覧,Label list for content
タグ識別子,Tag identifier
だけを表示,show only
ダッシュボード,Dashboard
チーム,Team
のコンテンツを変更する,change content 
のバーコードを変更する,change barcode
のラベルを変更する,change label
のラベル名を変更する,change label name
の管理アカウントを変更する,change the management account
の管理名を変更する,change the management name
の種別を変更する,change kind
の名前を変更する,change name
バーコード,Barcode
パスワード変更,Change password
パスワード,Password
パスワードが変更されました。,Password updated.
パスワードは無効です。,Invalid password.
発注一覧,Order list
パッケージ,Package
パッケージ数,Packages
